City ID,Date,Country,City,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
77,2021-04-16,CN,Aksu,59,63.7,5.86,33,41.1231,80.2644
78,2021-04-16,MX,Puerto Escondido,1,86.0,8.05,84,15.85,-97.0667
79,2021-04-16,US,Barrow,1,-2.2,11.5,78,71.2906,-156.7887
80,2021-04-16,TL,Airai,25,57.07,2.91,89,-8.9266,125.4092
81,2021-04-16,CK,Avarua,75,75.2,3.44,88,-21.2078,-159.775
82,2021-04-16,TZ,Ibanda,40,77.0,5.41,69,-2.7974,32.4746
83,2021-04-16,ZA,Cape Town,0,69.8,6.91,56,-33.9258,18.4232
84,2021-04-16,NZ,Dunedin,30,46.99,17.0,74,-45.8742,170.5036
85,2021-04-16,MV,Hithadhoo,16,83.08,5.66,61,-0.6,73.0833
86,2021-04-16,FO,Klaksvík,75,44.6,20.71,100,62.2266,-6.589
87,2021-04-16,RU,Tiksi,99,-8.75,4.16,100,71.6872,128.8694
88,2021-04-16,NZ,Bluff,92,42.01,1.99,94,-46.6,168.3333
89,2021-04-16,BR,São Francisco do Sul,40,82.0,10.36,65,-26.2433,-48.6381
90,2021-04-16,PH,Gigmoto,79,78.96,8.1,87,13.7796,124.39
91,2021-04-16,CL,Diego de Almagro,0,77.61,8.99,21,-26.3667,-70.05
92,2021-04-16,RU,Petropavlovsk-Kamchatskiy,2,30.2,13.42,47,53.0452,158.6483
93,2021-04-16,NG,Yenagoa,100,77.22,7.72,90,4.9247,6.2642
94,2021-04-16,PE,Camaná,28,71.78,7.0,73,-16.6228,-72.7111
95,2021-04-16,AU,Nelson Bay,75,64.99,9.22,67,-32.7167,152.15
96,2021-04-16,OM,Salalah,0,82.4,5.75,74,17.0151,54.0924
97,2021-04-16,GL,Qaanaaq,3,10.67,7.96,62,77.484,-69.3632
98,2021-04-16,PS,Gaza,0,73.0,11.92,40,31.5,34.4667
99,2021-04-16,ID,Bengkulu,71,75.56,3.58,89,-3.8004,102.2655
100,2021-04-16,ID,Sorong,98,78.87,8.84,83,-0.8833,131.25
101,2021-04-16,CL,Constitución,70,66.07,9.22,61,-35.3333,-72.4167
102,2021-04-16,AO,Mossamedes,0,81.95,9.42,70,-15.1961,12.1522
103,2021-04-16,TC,Cockburn Town,40,78.8,5.75,61,21.4612,-71.1419
104,2021-04-16,US,Pacific Grove,40,55.99,6.91,67,36.6177,-121.9166
105,2021-04-16,JP,Nago,75,73.4,6.91,83,26.5881,127.9761
106,2021-04-16,AU,Broken Hill,20,53.6,10.36,54,-31.95,141.4333
107,2021-04-16,ID,Kupang,83,76.21,6.93,88,-10.1667,123.5833
108,2021-04-16,PY,Ygatimi,100,77.25,3.18,63,-24.0833,-55.5
109,2021-04-16,AU,Carnarvon,1,77.29,11.32,37,-24.8667,113.6333
110,2021-04-16,US,Half Moon Bay,40,55.0,5.75,71,37.4636,-122.4286
111,2021-04-16,US,Saint Paul Harbor,90,39.2,6.91,87,57.79,-152.4072
112,2021-04-16,RU,Saskylakh,100,13.71,15.5,94,71.9167,114.0833
113,2021-04-16,EC,Puerto Ayora,75,79.0,10.36,89,-0.7393,-90.3518
114,2021-04-16,LY,Jalu,48,93.22,8.84,9,29.0331,21.5482
115,2021-04-16,US,Laguna,1,59.0,3.44,71,38.421,-121.4238
116,2021-04-16,TO,Vaini,20,69.8,5.75,83,-21.2,-175.2
117,2021-04-16,CL,Panguipulli,90,48.2,6.91,100,-39.6333,-72.3333
118,2021-04-16,RU,Klyuchi,25,53.78,10.49,67,52.2667,79.1667
119,2021-04-16,CO,Puerto Nariño,40,87.8,5.75,58,-3.7703,-70.3831
120,2021-04-16,PH,Pandan,85,78.71,8.99,87,14.0453,124.1694
121,2021-04-16,RU,Khatanga,100,6.28,10.96,95,71.9667,102.5
122,2021-04-16,RU,Evensk,99,16.57,0.89,96,61.95,159.2333
123,2021-04-16,CO,Inírida,86,86.7,1.48,69,3.8653,-67.9239
124,2021-04-16,US,Jamestown,90,37.99,13.8,93,42.097,-79.2353
125,2021-04-16,BR,Arraial do Cabo,40,82.4,16.11,50,-22.9661,-42.0278
126,2021-04-16,JP,Fukuechō,100,61.54,3.65,84,32.6881,128.8419
127,2021-04-16,CA,Cap-aux-Meules,81,39.2,19.57,75,47.3821,-61.8597
128,2021-04-16,MX,Progreso,75,93.99,6.91,51,21.2833,-89.6667
129,2021-04-16,GA,Booué,94,81.59,1.86,79,-0.0921,11.9385
130,2021-04-16,UZ,Andijan,22,60.8,13.42,48,40.7821,72.3442
131,2021-04-16,UY,Chui,47,74.03,2.62,72,-33.6971,-53.4616
132,2021-04-16,KE,Kitui,38,68.67,2.77,74,-1.367,38.0106
133,2021-04-16,CA,Tuktoyaktuk,90,12.2,4.61,92,69.4541,-133.0374
134,2021-04-16,IR,Kerman,40,69.8,13.8,24,30.2832,57.0788
135,2021-04-16,NG,Lagos,40,91.4,9.22,62,6.5833,3.75
136,2021-04-16,BD,Mathbaria,50,79.93,5.39,71,22.2876,89.9593
137,2021-04-16,AU,Moree,90,64.4,9.22,52,-29.4667,149.85
138,2021-04-16,US,Devils Lake,90,39.2,9.22,60,48.1128,-98.8651
139,2021-04-16,RU,Talnakh,100,-8.88,4.94,99,69.4865,88.3972
140,2021-04-16,CN,Kumul,0,61.59,7.31,10,42.8,93.45
141,2021-04-16,PH,Dingle,72,76.91,4.61,85,10.9995,122.6711
142,2021-04-16,CN,Yatou,79,45.23,11.36,71,37.15,122.3833
143,2021-04-16,IR,Chabahar,7,82.0,8.95,63,25.2919,60.643
144,2021-04-16,AR,Trelew,92,71.13,18.45,24,-43.249,-65.3051
145,2021-04-16,RU,Agirish,75,27.79,5.64,79,61.9247,63.0231
146,2021-04-16,OM,Ruwi,0,86.0,1.14,54,23.5996,58.5507
147,2021-04-16,KI,Butaritari,99,81.19,6.04,74,3.0707,172.7902
148,2021-04-16,PF,Tautira,20,77.0,3.44,78,-17.7333,-149.15
149,2021-04-16,EE,Kärdla,0,44.6,13.8,57,58.9978,22.7492
150,2021-04-16,KZ,Makīnsk,48,44.67,14.36,84,52.6292,70.4169
151,2021-04-16,NZ,Levin,98,59.0,3.0,81,-40.6333,175.275
152,2021-04-16,IS,Vestmannaeyjar,75,42.8,21.85,65,63.4427,-20.2734
153,2021-04-16,TZ,Sokoni,20,80.6,10.36,83,-6.4333,39.55
154,2021-04-16,NZ,Te Anau,80,40.8,3.36,92,-45.4167,167.7167
155,2021-04-16,CA,Thompson,75,42.8,4.61,26,55.7435,-97.8558
156,2021-04-16,RU,Baykit,83,6.06,9.57,84,61.67,96.37
157,2021-04-16,US,Hamilton,75,57.0,8.05,50,39.1834,-84.5333
158,2021-04-16,RU,Chokurdakh,99,-11.07,7.74,100,70.6333,147.9167
159,2021-04-16,RU,Dikson,100,-8.93,7.56,99,73.5069,80.5464
160,2021-04-16,IR,Gachsaran,0,75.2,6.91,17,30.3586,50.7981
161,2021-04-16,PH,City of San Pedro,20,82.4,5.75,69,14.35,121.0167
162,2021-04-16,BY,Forsytheganj,85,46.9,4.34,88,52.6333,29.7333
163,2021-04-16,RU,Provideniya,98,25.02,7.02,99,64.3833,-173.3
164,2021-04-16,CL,Lebu,52,59.85,12.24,67,-37.6167,-73.65
165,2021-04-16,CV,Praia,40,77.0,26.46,57,14.9215,-23.5087
166,2021-04-16,MZ,Quelimane,40,78.8,5.75,69,-17.8786,36.8883
167,2021-04-16,US,Saint George,6,61.0,1.12,32,37.1041,-113.5841
168,2021-04-16,MX,Cabo San Lucas,1,86.0,4.61,34,22.8909,-109.9124
169,2021-04-16,AU,Mount Isa,0,71.6,23.02,30,-20.7333,139.5
170,2021-04-16,RU,Vokhtoga,8,42.26,6.55,66,58.8147,41.0461
171,2021-04-16,ZA,Port Alfred,1,63.72,14.97,59,-33.5906,26.891
172,2021-04-16,TD,Moussoro,4,96.1,10.69,3,13.6408,16.4901
173,2021-04-16,ID,Kendari,47,74.52,3.36,87,-3.945,122.4989
